Time,Ground Truth,Estimation
0,300,294
1,300,315
2,300,294
3,300,338
4,300,274
5,300,294
6,300,338
7,300,315
8,300,294
9,300,315
10,300,315
11,300,294
12,300,338
13,300,315
14,300,274
15,300,274
16,300,274
17,300,315
18,300,294
19,300,239
20,300,294
21,300,294
22,300,274
23,300,294
24,300,294
25,300,338
26,300,274
27,300,294
28,300,338
29,300,294
30,300,294
31,300,294
32,300,294
33,300,338
34,300,274
35,300,274
36,300,294
37,300,362
38,300,274
39,300,315
40,300,338
41,300,256
42,300,294
43,300,274
44,300,338
45,300,274
46,300,315
47,300,338
48,300,315
49,300,256
50,300,256
51,300,274
52,300,338
53,300,294
54,300,294
55,300,315
56,300,315
57,300,338
58,300,294
59,300,294
60,300,294
61,300,294
62,300,294
63,300,294
64,300,294
65,300,338
66,300,294
67,300,274
68,300,274
69,300,315
70,300,256
71,300,294
72,300,338
73,300,274
74,300,338
75,300,294
76,300,315
77,300,315
78,300,362
79,300,294
80,300,274
81,300,294
82,300,274
83,300,294
84,300,274
85,300,274
86,300,315
87,300,315
88,300,256
89,300,265
90,300,294
91,300,338
92,300,338
93,300,256
94,300,338
95,300,294
96,300,294
97,300,294
98,300,315
99,300,274
100,300,338
101,300,274
102,300,315
103,300,375
104,300,338
105,300,274
106,300,315
107,300,294
108,300,274
109,300,315
110,300,294
111,300,304
112,300,294
113,300,315
114,300,338
115,300,315
116,300,315
117,300,304
118,300,274
119,300,362
120,300,315
121,300,256
122,300,256
123,300,294
124,300,315
125,300,294
126,300,294
127,300,315
128,300,274
129,300,274
130,300,294
131,300,274
132,300,274
133,300,294
134,300,294
135,300,338
136,300,294
137,300,294
138,300,315
139,300,294
140,300,315
141,300,315
142,300,294
143,300,239
144,300,315
145,300,315
146,300,294
147,300,274
148,300,315
149,300,294
150,300,294
151,300,284
152,300,274
153,300,338
154,300,315
155,300,274
156,300,274
157,300,338
158,300,256
159,300,315
160,300,294
161,300,294
162,300,338
163,300,274
164,300,294
165,300,274
166,300,315
167,300,315
168,300,315
169,300,294
170,300,315
171,300,315
172,300,274
173,300,294
174,300,256
175,300,274
176,300,315
177,300,274
178,300,315
179,300,274
180,300,338
181,300,315
182,300,256
183,300,338
184,300,315
185,300,294
186,300,274
187,300,315
188,300,274
189,300,315
190,300,294
191,300,315
192,300,315
193,300,315
194,300,294
195,300,315
196,300,304
197,300,294
198,300,315
199,300,294
200,300,315
201,300,315
202,300,274
203,300,294
204,300,315
205,300,294
206,300,338
207,300,338
208,300,294
209,300,274
210,300,274
211,300,315
212,300,274
213,300,294
214,300,274
215,300,315
216,300,315
217,300,294
218,300,294
219,300,274
220,300,294
221,300,338
222,300,274
223,300,315
224,300,362
225,300,338
226,300,338
227,300,315
228,300,294
229,300,315
230,300,274
231,300,315
232,300,338
233,300,294
234,300,315
235,300,294
236,300,274
237,300,315
238,300,326
239,300,315
240,300,274
241,300,315
242,300,315
243,300,338
244,300,274
245,300,315
246,300,294
247,300,350
248,300,256
249,300,294
250,300,274
251,300,315
252,300,256
253,300,338
254,300,294
255,300,294
256,300,256
257,300,315
258,300,294
259,300,274
260,300,315
261,300,256
262,300,315
263,300,274
264,300,315
265,300,256
266,300,274
267,300,315
268,300,294
269,300,274
270,300,294
271,300,315
272,300,274
273,300,294
274,300,294
275,300,315
276,300,274
277,300,315
278,300,315
279,300,294
280,300,338
281,300,274
282,300,338
283,300,294
284,300,274
285,300,315
286,300,338
287,300,315
288,300,274
289,300,315
290,300,294
291,300,315
292,300,256
293,300,315
294,300,294
295,300,338
296,300,315
297,300,274
298,300,256
299,300,274
